We infer the transformation rule from the facts by bounded rule-based trial.
I will put my final answer inside \boxed{}.

remap (index 2 is the operator):
fact0 [`@+%|] = [{&$]: AB + CD = EFG  (r.len=3, sym=['A', 'B', 'C', 'D', 'E', 'F', 'G'], |sym|=7)
fact1 ['{+@`] = [{{`]: HE + BA = EEA  (r.len=3, sym=['A', 'B', 'E', 'H'], |sym|=4)
fact2 [`'*#@] = [`'#@]: AH * JB = AHJB  (r.len=4, sym=['A', 'B', 'H', 'J'], |sym|=4)
fact3 [''+%'] = [##]: HH + CH = JJ  (r.len=2, sym=['C', 'H', 'J'], |sym|=3)
query [#'+{']: JH + EH = ?

narrowing operator candidates by result length:
  '*' -> {concat, rconcat, mul, mul1, mulm1}
  '+' -> {add1, addm1}

Mul anchor: fact2 [`'*#@] (4-digit result constrains the cipher most tightly).
Enumerate (operation, operands) consistent with the anchor pattern AH * JB = AHJB -> 5040 candidates:
  R0: concat(01,23) = 0123 -> J=2,H=1,B=3,A=0
  R1: concat(01,24) = 0124 -> J=2,H=1,B=4,A=0
  R2: concat(01,25) = 0125 -> J=2,H=1,B=5,A=0
  R3: concat(01,26) = 0126 -> J=2,H=1,B=6,A=0
  R4: concat(01,27) = 0127 -> J=2,H=1,B=7,A=0
  R5: concat(01,28) = 0128 -> J=2,H=1,B=8,A=0
  R6: concat(01,29) = 0129 -> J=2,H=1,B=9,A=0
  R7: concat(01,32) = 0132 -> J=3,H=1,B=2,A=0
  R8: concat(01,34) = 0134 -> J=3,H=1,B=4,A=0
  R9: concat(01,35) = 0135 -> J=3,H=1,B=5,A=0
  R10: concat(01,36) = 0136 -> J=3,H=1,B=6,A=0
  R11: concat(01,37) = 0137 -> J=3,H=1,B=7,A=0
  R12: concat(01,38) = 0138 -> J=3,H=1,B=8,A=0
  R13: concat(01,39) = 0139 -> J=3,H=1,B=9,A=0
  R14: concat(01,42) = 0142 -> J=4,H=1,B=2,A=0
  R15: concat(01,43) = 0143 -> J=4,H=1,B=3,A=0
  R16: concat(01,45) = 0145 -> J=4,H=1,B=5,A=0
  R17: concat(01,46) = 0146 -> J=4,H=1,B=6,A=0
  R18: concat(01,47) = 0147 -> J=4,H=1,B=7,A=0
  R19: concat(01,48) = 0148 -> J=4,H=1,B=8,A=0
  R20: concat(01,49) = 0149 -> J=4,H=1,B=9,A=0
  R21: concat(01,52) = 0152 -> J=5,H=1,B=2,A=0
  R22: concat(01,53) = 0153 -> J=5,H=1,B=3,A=0
  R23: concat(01,54) = 0154 -> J=5,H=1,B=4,A=0
  R24: concat(01,56) = 0156 -> J=5,H=1,B=6,A=0
  R25: concat(01,57) = 0157 -> J=5,H=1,B=7,A=0
  R26: concat(01,58) = 0158 -> J=5,H=1,B=8,A=0
  R27: concat(01,59) = 0159 -> J=5,H=1,B=9,A=0
  R28: concat(01,62) = 0162 -> J=6,H=1,B=2,A=0
  R29: concat(01,63) = 0163 -> J=6,H=1,B=3,A=0
  R30: concat(01,64) = 0164 -> J=6,H=1,B=4,A=0
  R31: concat(01,65) = 0165 -> J=6,H=1,B=5,A=0
  R32: concat(01,67) = 0167 -> J=6,H=1,B=7,A=0
  R33: concat(01,68) = 0168 -> J=6,H=1,B=8,A=0
  R34: concat(01,69) = 0169 -> J=6,H=1,B=9,A=0
  R35: concat(01,72) = 0172 -> J=7,H=1,B=2,A=0
  R36: concat(01,73) = 0173 -> J=7,H=1,B=3,A=0
  R37: concat(01,74) = 0174 -> J=7,H=1,B=4,A=0
  R38: concat(01,75) = 0175 -> J=7,H=1,B=5,A=0
  R39: concat(01,76) = 0176 -> J=7,H=1,B=6,A=0
  R40: concat(01,78) = 0178 -> J=7,H=1,B=8,A=0
  R41: concat(01,79) = 0179 -> J=7,H=1,B=9,A=0
  R42: concat(01,82) = 0182 -> J=8,H=1,B=2,A=0
  R43: concat(01,83) = 0183 -> J=8,H=1,B=3,A=0
  R44: concat(01,84) = 0184 -> J=8,H=1,B=4,A=0
  R45: concat(01,85) = 0185 -> J=8,H=1,B=5,A=0
  R46: concat(01,86) = 0186 -> J=8,H=1,B=6,A=0
  R47: concat(01,87) = 0187 -> J=8,H=1,B=7,A=0
