We infer the transformation rule from the facts by bounded rule-based trial.
I will put my final answer inside \boxed{}.

remap (index 2 is the operator):
fact0 [##-%`] = [-"#]: AA - BC = -DA  (r.len=2 neg, sym=['A', 'B', 'C', 'D'], |sym|=4)
fact1 []<*%}] = []<%}]: EF * BG = EFBG  (r.len=4, sym=['B', 'E', 'F', 'G'], |sym|=4)
fact2 [#"+^#] = [|}]: AD + HA = JG  (r.len=2, sym=['A', 'D', 'G', 'H', 'J'], |sym|=5)
fact3 [@|-]}] = [-@<]: KJ - EG = -KF  (r.len=2 neg, sym=['E', 'F', 'G', 'J', 'K'], |sym|=5)
query [@`+|`]: KC + JC = ?

narrowing operator candidates by result length:
  '*' -> {concat, rconcat, mul, mul1, mulm1}
  '+' -> {add, add1, addm1, sub, rsub, absdiff, maxmod}
  '-' -> {sub, rsub, negabs}

Mul anchor: fact1 []<*%}] (4-digit result constrains the cipher most tightly).
Enumerate (operation, operands) consistent with the anchor pattern EF * BG = EFBG -> 5040 candidates:
  R0: concat(01,23) = 0123 -> B=2,F=1,E=0,G=3
  R1: concat(01,24) = 0124 -> B=2,F=1,E=0,G=4
  R2: concat(01,25) = 0125 -> B=2,F=1,E=0,G=5
  R3: concat(01,26) = 0126 -> B=2,F=1,E=0,G=6
  R4: concat(01,27) = 0127 -> B=2,F=1,E=0,G=7
  R5: concat(01,28) = 0128 -> B=2,F=1,E=0,G=8
  R6: concat(01,29) = 0129 -> B=2,F=1,E=0,G=9
  R7: concat(01,32) = 0132 -> B=3,F=1,E=0,G=2
  R8: concat(01,34) = 0134 -> B=3,F=1,E=0,G=4
  R9: concat(01,35) = 0135 -> B=3,F=1,E=0,G=5
  R10: concat(01,36) = 0136 -> B=3,F=1,E=0,G=6
  R11: concat(01,37) = 0137 -> B=3,F=1,E=0,G=7
  R12: concat(01,38) = 0138 -> B=3,F=1,E=0,G=8
  R13: concat(01,39) = 0139 -> B=3,F=1,E=0,G=9
  R14: concat(01,42) = 0142 -> B=4,F=1,E=0,G=2
  R15: concat(01,43) = 0143 -> B=4,F=1,E=0,G=3
  R16: concat(01,45) = 0145 -> B=4,F=1,E=0,G=5
  R17: concat(01,46) = 0146 -> B=4,F=1,E=0,G=6
