We infer the transformation rule from the facts by bounded rule-based trial.
I will put my final answer inside \boxed{}.

remap (index 2 is the operator):
fact0 [(@*@:] = [(@@:]: AB * BC = ABBC  (r.len=4, sym=['A', 'B', 'C'], |sym|=3)
fact1 []]*{]] = []]{]]: DD * ED = DDED  (r.len=4, sym=['D', 'E'], |sym|=2)
fact2 []!-{"] = [@!]: DF - EG = BF  (r.len=2, sym=['B', 'D', 'E', 'F', 'G'], |sym|=5)
fact3 [`!+>{] = [!@@]: HF + JE = FBB  (r.len=3, sym=['B', 'E', 'F', 'H', 'J'], |sym|=5)
query [{{-{`]: EE - EH = ?

narrowing operator candidates by result length:
  '*' -> {concat, rconcat, mul, mul1, mulm1}
  '+' -> {mul, mul1, mulm1, add1, addm1}
  '-' -> {add, add1, addm1, sub, rsub, absdiff, maxmod}

Mul anchor: fact0 [(@*@:] (4-digit result constrains the cipher most tightly).
Enumerate (operation, operands) consistent with the anchor pattern AB * BC = ABBC -> 720 candidates:
  R0: concat(01,12) = 0112 -> A=0,C=2,B=1
  R1: concat(01,13) = 0113 -> A=0,C=3,B=1
  R2: concat(01,14) = 0114 -> A=0,C=4,B=1
  R3: concat(01,15) = 0115 -> A=0,C=5,B=1
  R4: concat(01,16) = 0116 -> A=0,C=6,B=1
  R5: concat(01,17) = 0117 -> A=0,C=7,B=1
  R6: concat(01,18) = 0118 -> A=0,C=8,B=1
  R7: concat(01,19) = 0119 -> A=0,C=9,B=1
  R8: concat(02,21) = 0221 -> A=0,C=1,B=2
  R9: concat(02,23) = 0223 -> A=0,C=3,B=2
  R10: concat(02,24) = 0224 -> A=0,C=4,B=2
  R11: concat(02,25) = 0225 -> A=0,C=5,B=2
  R12: concat(02,26) = 0226 -> A=0,C=6,B=2
  R13: concat(02,27) = 0227 -> A=0,C=7,B=2
  R14: concat(02,28) = 0228 -> A=0,C=8,B=2
  R15: concat(02,29) = 0229 -> A=0,C=9,B=2
  R16: concat(03,31) = 0331 -> A=0,C=1,B=3
  R17: concat(03,32) = 0332 -> A=0,C=2,B=3
  R18: concat(03,34) = 0334 -> A=0,C=4,B=3
  R19: concat(03,35) = 0335 -> A=0,C=5,B=3
  R20: concat(03,36) = 0336 -> A=0,C=6,B=3
  R21: concat(03,37) = 0337 -> A=0,C=7,B=3
  R22: concat(03,38) = 0338 -> A=0,C=8,B=3
  R23: concat(03,39) = 0339 -> A=0,C=9,B=3
  R24: concat(04,41) = 0441 -> A=0,C=1,B=4
  R25: concat(04,42) = 0442 -> A=0,C=2,B=4
  R26: concat(04,43) = 0443 -> A=0,C=3,B=4
  R27: concat(04,45) = 0445 -> A=0,C=5,B=4
  R28: concat(04,46) = 0446 -> A=0,C=6,B=4
  R29: concat(04,47) = 0447 -> A=0,C=7,B=4
  R30: concat(04,48) = 0448 -> A=0,C=8,B=4
  R31: concat(04,49) = 0449 -> A=0,C=9,B=4
  R32: concat(05,51) = 0551 -> A=0,C=1,B=5
  R33: concat(05,52) = 0552 -> A=0,C=2,B=5
  R34: concat(05,53) = 0553 -> A=0,C=3,B=5
  R35: concat(05,54) = 0554 -> A=0,C=4,B=5
  R36: concat(05,56) = 0556 -> A=0,C=6,B=5
  R37: concat(05,57) = 0557 -> A=0,C=7,B=5
  R38: concat(05,58) = 0558 -> A=0,C=8,B=5
  R39: concat(05,59) = 0559 -> A=0,C=9,B=5
  R40: concat(06,61) = 0661 -> A=0,C=1,B=6
  R41: concat(06,62) = 0662 -> A=0,C=2,B=6
  R42: concat(06,63) = 0663 -> A=0,C=3,B=6
  R43: concat(06,64) = 0664 -> A=0,C=4,B=6
  R44: concat(06,65) = 0665 -> A=0,C=5,B=6
  R45: concat(06,67) = 0667 -> A=0,C=7,B=6
  R46: concat(06,68) = 0668 -> A=0,C=8,B=6
  R47: concat(06,69) = 0669 -> A=0,C=9,B=6
  R48: concat(07,71) = 0771 -> A=0,C=1,B=7
  R49: concat(07,72) = 0772 -> A=0,C=2,B=7
  R50: concat(07,73) = 0773 -> A=0,C=3,B=7
  R51: concat(07,74) = 0774 -> A=0,C=4,B=7
  R52: concat(07,75) = 0775 -> A=0,C=5,B=7
  R53: concat(07,76) = 0776 -> A=0,C=6,B=7
  R54: concat(07,78) = 0778 -> A=0,C=8,B=7
  R55: concat(07,79) = 0779 -> A=0,C=9,B=7
  R56: concat(08,81) = 0881 -> A=0,C=1,B=8
  R57: concat(08,82) = 0882 -> A=0,C=2,B=8
  R58: concat(08,83) = 0883 -> A=0,C=3,B=8
  R59: concat(08,84) = 0884 -> A=0,C=4,B=8
  R60: concat(08,85) = 0885 -> A=0,C=5,B=8
  R61: concat(08,86) = 0886 -> A=0,C=6,B=8
  R62: concat(08,87) = 0887 -> A=0,C=7,B=8
  R63: concat(08,89) = 0889 -> A=0,C=9,B=8
  R64: concat(09,91) = 0991 -> A=0,C=1,B=9
  R65: concat(09,92) = 0992 -> A=0,C=2,B=9
  R66: concat(09,93) = 0993 -> A=0,C=3,B=9
  R67: concat(09,94) = 0994 -> A=0,C=4,B=9
  R68: concat(09,95) = 0995 -> A=0,C=5,B=9
  R69: concat(09,96) = 0996 -> A=0,C=6,B=9
  R70: concat(09,97) = 0997 -> A=0,C=7,B=9
  R71: concat(09,98) = 0998 -> A=0,C=8,B=9
  R72: concat(10,02) = 1002 -> A=1,C=2,B=0
  R73: concat(10,03) = 1003 -> A=1,C=3,B=0
  R74: concat(10,04) = 1004 -> A=1,C=4,B=0
  R75: concat(10,05) = 1005 -> A=1,C=5,B=0
  R76: concat(10,06) = 1006 -> A=1,C=6,B=0
  R77: concat(10,07) = 1007 -> A=1,C=7,B=0
  R78: concat(10,08) = 1008 -> A=1,C=8,B=0
  R79: concat(10,09) = 1009 -> A=1,C=9,B=0
  R80: concat(12,20) = 1220 -> A=1,C=0,B=2
  R81: concat(12,23) = 1223 -> A=1,C=3,B=2
  R82: concat(12,24) = 1224 -> A=1,C=4,B=2
  R83: concat(12,25) = 1225 -> A=1,C=5,B=2
  R84: concat(12,26) = 1226 -> A=1,C=6,B=2
  R85: concat(12,27) = 1227 -> A=1,C=7,B=2
  R86: concat(12,28) = 1228 -> A=1,C=8,B=2
  R87: concat(12,29) = 1229 -> A=1,C=9,B=2
  R88: concat(13,30) = 1330 -> A=1,C=0,B=3
  R89: concat(13,32) = 1332 -> A=1,C=2,B=3
  R90: concat(13,34) = 1334 -> A=1,C=4,B=3
  R91: concat(13,35) = 1335 -> A=1,C=5,B=3
  R92: concat(13,36) = 1336 -> A=1,C=6,B=3
  R93: concat(13,37) = 1337 -> A=1,C=7,B=3
  R94: concat(13,38) = 1338 -> A=1,C=8,B=3
  R95: concat(13,39) = 1339 -> A=1,C=9,B=3
  R96: concat(14,40) = 1440 -> A=1,C=0,B=4
  R97: concat(14,42) = 1442 -> A=1,C=2,B=4
  R98: concat(14,43) = 1443 -> A=1,C=3,B=4
  R99: concat(14,45) = 1445 -> A=1,C=5,B=4
  R100: concat(14,46) = 1446 -> A=1,C=6,B=4
  R101: concat(14,47) = 1447 -> A=1,C=7,B=4
  R102: concat(14,48) = 1448 -> A=1,C=8,B=4
  R103: concat(14,49) = 1449 -> A=1,C=9,B=4
  R104: concat(15,50) = 1550 -> A=1,C=0,B=5
  R105: concat(15,52) = 1552 -> A=1,C=2,B=5
