We infer the transformation rule from the facts by bounded rule-based trial.
I will put my final answer inside \boxed{}.

remap (index 2 is the operator):
fact0 [>`+'&] = [`{/]: AB + CD = BEF  (r.len=3, sym=['A', 'B', 'C', 'D', 'E', 'F'], |sym|=6)
fact1 [`{-':] = [->>]: BE - CG = -AA  (r.len=2 neg, sym=['A', 'B', 'C', 'E', 'G'], |sym|=5)
fact2 [/^-/^] = [:]: FH - FH = G  (r.len=1, sym=['F', 'G', 'H'], |sym|=3)
fact3 [^!-%^] = [>{]: HJ - KH = AE  (r.len=2, sym=['A', 'E', 'H', 'J', 'K'], |sym|=5)
fact4 [>:*!'] = [>:!']: AG * JC = AGJC  (r.len=4, sym=['A', 'C', 'G', 'J'], |sym|=4)
query [^:*`!]: HG * BJ = ?

narrowing operator candidates by result length:
  '*' -> {concat, rconcat, mul, mul1, mulm1}
  '+' -> {mul, mul1, mulm1, add1, addm1}
  '-' -> {sub, rsub}

Mul anchor: fact4 [>:*!'] (4-digit result constrains the cipher most tightly).
Enumerate (operation, operands) consistent with the anchor pattern AG * JC = AGJC -> 5040 candidates:
  R0: concat(01,23) = 0123 -> J=2,C=3,G=1,A=0
  R1: concat(01,24) = 0124 -> J=2,C=4,G=1,A=0
  R2: concat(01,25) = 0125 -> J=2,C=5,G=1,A=0
  R3: concat(01,26) = 0126 -> J=2,C=6,G=1,A=0
  R4: concat(01,27) = 0127 -> J=2,C=7,G=1,A=0
  R5: concat(01,28) = 0128 -> J=2,C=8,G=1,A=0
  R6: concat(01,29) = 0129 -> J=2,C=9,G=1,A=0
  R7: concat(01,32) = 0132 -> J=3,C=2,G=1,A=0
  R8: concat(01,34) = 0134 -> J=3,C=4,G=1,A=0
  R9: concat(01,35) = 0135 -> J=3,C=5,G=1,A=0
  R10: concat(01,36) = 0136 -> J=3,C=6,G=1,A=0
  R11: concat(01,37) = 0137 -> J=3,C=7,G=1,A=0
  R12: concat(01,38) = 0138 -> J=3,C=8,G=1,A=0
  R13: concat(01,39) = 0139 -> J=3,C=9,G=1,A=0
  R14: concat(01,42) = 0142 -> J=4,C=2,G=1,A=0
  R15: concat(01,43) = 0143 -> J=4,C=3,G=1,A=0
  R16: concat(01,45) = 0145 -> J=4,C=5,G=1,A=0
  R17: concat(01,46) = 0146 -> J=4,C=6,G=1,A=0
  R18: concat(01,47) = 0147 -> J=4,C=7,G=1,A=0
  R19: concat(01,48) = 0148 -> J=4,C=8,G=1,A=0
  R20: concat(01,49) = 0149 -> J=4,C=9,G=1,A=0
  R21: concat(01,52) = 0152 -> J=5,C=2,G=1,A=0
  R22: concat(01,53) = 0153 -> J=5,C=3,G=1,A=0
  R23: concat(01,54) = 0154 -> J=5,C=4,G=1,A=0
  R24: concat(01,56) = 0156 -> J=5,C=6,G=1,A=0
  R25: concat(01,57) = 0157 -> J=5,C=7,G=1,A=0
  R26: concat(01,58) = 0158 -> J=5,C=8,G=1,A=0
  R27: concat(01,59) = 0159 -> J=5,C=9,G=1,A=0
  R28: concat(01,62) = 0162 -> J=6,C=2,G=1,A=0
  R29: concat(01,63) = 0163 -> J=6,C=3,G=1,A=0
  R30: concat(01,64) = 0164 -> J=6,C=4,G=1,A=0
  R31: concat(01,65) = 0165 -> J=6,C=5,G=1,A=0
  R32: concat(01,67) = 0167 -> J=6,C=7,G=1,A=0
  R33: concat(01,68) = 0168 -> J=6,C=8,G=1,A=0
  R34: concat(01,69) = 0169 -> J=6,C=9,G=1,A=0
  R35: concat(01,72) = 0172 -> J=7,C=2,G=1,A=0
  R36: concat(01,73) = 0173 -> J=7,C=3,G=1,A=0
  R37: concat(01,74) = 0174 -> J=7,C=4,G=1,A=0
  R38: concat(01,75) = 0175 -> J=7,C=5,G=1,A=0
  R39: concat(01,76) = 0176 -> J=7,C=6,G=1,A=0
  R40: concat(01,78) = 0178 -> J=7,C=8,G=1,A=0
  R41: concat(01,79) = 0179 -> J=7,C=9,G=1,A=0
  R42: concat(01,82) = 0182 -> J=8,C=2,G=1,A=0
  R43: concat(01,83) = 0183 -> J=8,C=3,G=1,A=0
  R44: concat(01,84) = 0184 -> J=8,C=4,G=1,A=0
  R45: concat(01,85) = 0185 -> J=8,C=5,G=1,A=0
  R46: concat(01,86) = 0186 -> J=8,C=6,G=1,A=0
  R47: concat(01,87) = 0187 -> J=8,C=7,G=1,A=0
  R48: concat(01,89) = 0189 -> J=8,C=9,G=1,A=0
  R49: concat(01,92) = 0192 -> J=9,C=2,G=1,A=0
  R50: concat(01,93) = 0193 -> J=9,C=3,G=1,A=0
  R51: concat(01,94) = 0194 -> J=9,C=4,G=1,A=0
  R52: concat(01,95) = 0195 -> J=9,C=5,G=1,A=0
  R53: concat(01,96) = 0196 -> J=9,C=6,G=1,A=0
  R54: concat(01,97) = 0197 -> J=9,C=7,G=1,A=0
  R55: concat(01,98) = 0198 -> J=9,C=8,G=1,A=0
  R56: concat(02,13) = 0213 -> J=1,C=3,G=2,A=0
  R57: concat(02,14) = 0214 -> J=1,C=4,G=2,A=0
  R58: concat(02,15) = 0215 -> J=1,C=5,G=2,A=0
  R59: concat(02,16) = 0216 -> J=1,C=6,G=2,A=0
  R60: concat(02,17) = 0217 -> J=1,C=7,G=2,A=0
  R61: concat(02,18) = 0218 -> J=1,C=8,G=2,A=0
  R62: concat(02,19) = 0219 -> J=1,C=9,G=2,A=0
  R63: concat(02,31) = 0231 -> J=3,C=1,G=2,A=0
  R64: concat(02,34) = 0234 -> J=3,C=4,G=2,A=0
  R65: concat(02,35) = 0235 -> J=3,C=5,G=2,A=0
  R66: concat(02,36) = 0236 -> J=3,C=6,G=2,A=0
  R67: concat(02,37) = 0237 -> J=3,C=7,G=2,A=0
  R68: concat(02,38) = 0238 -> J=3,C=8,G=2,A=0
  R69: concat(02,39) = 0239 -> J=3,C=9,G=2,A=0
  R70: concat(02,41) = 0241 -> J=4,C=1,G=2,A=0
  R71: concat(02,43) = 0243 -> J=4,C=3,G=2,A=0
  R72: concat(02,45) = 0245 -> J=4,C=5,G=2,A=0
  R73: concat(02,46) = 0246 -> J=4,C=6,G=2,A=0
  R74: concat(02,47) = 0247 -> J=4,C=7,G=2,A=0
  R75: concat(02,48) = 0248 -> J=4,C=8,G=2,A=0
  R76: concat(02,49) = 0249 -> J=4,C=9,G=2,A=0
