We infer the transformation rule from the facts by bounded rule-based trial.
I will put my final answer inside \boxed{}.

remap (index 2 is the operator):
fact0 [$:?<!] = [/>]: AB ? CD = EF  (r.len=2, sym=['A', 'B', 'C', 'D', 'E', 'F'], |sym|=6)
fact1 [[|'/$] = [[|/$]: GH ' EA = GHEA  (r.len=4, sym=['A', 'E', 'G', 'H'], |sym|=4)
fact2 [|>?[>] = [/:]: HF ? GF = EB  (r.len=2, sym=['B', 'E', 'F', 'G', 'H'], |sym|=5)
query [<>?![]: CF ? DG = ?

narrowing operator candidates by result length:
  ''' -> {concat, rconcat, mul, mul1, mulm1}
  '?' -> {add, add1, addm1, sub, rsub, absdiff, maxmod}

Mul anchor: fact1 [[|'/$] (4-digit result constrains the cipher most tightly).
Enumerate (operation, operands) consistent with the anchor pattern GH ' EA = GHEA -> 5040 candidates:
  R0: concat(01,23) = 0123 -> A=3,E=2,G=0,H=1
  R1: concat(01,24) = 0124 -> A=4,E=2,G=0,H=1
  R2: concat(01,25) = 0125 -> A=5,E=2,G=0,H=1
  R3: concat(01,26) = 0126 -> A=6,E=2,G=0,H=1
  R4: concat(01,27) = 0127 -> A=7,E=2,G=0,H=1
  R5: concat(01,28) = 0128 -> A=8,E=2,G=0,H=1
  R6: concat(01,29) = 0129 -> A=9,E=2,G=0,H=1
  R7: concat(01,32) = 0132 -> A=2,E=3,G=0,H=1
  R8: concat(01,34) = 0134 -> A=4,E=3,G=0,H=1
  R9: concat(01,35) = 0135 -> A=5,E=3,G=0,H=1
  R10: concat(01,36) = 0136 -> A=6,E=3,G=0,H=1
  R11: concat(01,37) = 0137 -> A=7,E=3,G=0,H=1
  R12: concat(01,38) = 0138 -> A=8,E=3,G=0,H=1
  R13: concat(01,39) = 0139 -> A=9,E=3,G=0,H=1
  R14: concat(01,42) = 0142 -> A=2,E=4,G=0,H=1
  R15: concat(01,43) = 0143 -> A=3,E=4,G=0,H=1
  R16: concat(01,45) = 0145 -> A=5,E=4,G=0,H=1
  R17: concat(01,46) = 0146 -> A=6,E=4,G=0,H=1
  R18: concat(01,47) = 0147 -> A=7,E=4,G=0,H=1
  R19: concat(01,48) = 0148 -> A=8,E=4,G=0,H=1
  R20: concat(01,49) = 0149 -> A=9,E=4,G=0,H=1
  R21: concat(01,52) = 0152 -> A=2,E=5,G=0,H=1
  R22: concat(01,53) = 0153 -> A=3,E=5,G=0,H=1
  R23: concat(01,54) = 0154 -> A=4,E=5,G=0,H=1
  R24: concat(01,56) = 0156 -> A=6,E=5,G=0,H=1
  R25: concat(01,57) = 0157 -> A=7,E=5,G=0,H=1
  R26: concat(01,58) = 0158 -> A=8,E=5,G=0,H=1
  R27: concat(01,59) = 0159 -> A=9,E=5,G=0,H=1
  R28: concat(01,62) = 0162 -> A=2,E=6,G=0,H=1
  R29: concat(01,63) = 0163 -> A=3,E=6,G=0,H=1
  R30: concat(01,64) = 0164 -> A=4,E=6,G=0,H=1
  R31: concat(01,65) = 0165 -> A=5,E=6,G=0,H=1
  R32: concat(01,67) = 0167 -> A=7,E=6,G=0,H=1
  R33: concat(01,68) = 0168 -> A=8,E=6,G=0,H=1
  R34: concat(01,69) = 0169 -> A=9,E=6,G=0,H=1
  R35: concat(01,72) = 0172 -> A=2,E=7,G=0,H=1
  R36: concat(01,73) = 0173 -> A=3,E=7,G=0,H=1
  R37: concat(01,74) = 0174 -> A=4,E=7,G=0,H=1
  R38: concat(01,75) = 0175 -> A=5,E=7,G=0,H=1
  R39: concat(01,76) = 0176 -> A=6,E=7,G=0,H=1
  R40: concat(01,78) = 0178 -> A=8,E=7,G=0,H=1
  R41: concat(01,79) = 0179 -> A=9,E=7,G=0,H=1
