We infer the transformation rule from the facts by bounded rule-based trial.
I will put my final answer inside \boxed{}.

remap (index 2 is the operator):
fact0 [""+:|] = ["":|]: AA + BC = AABC  (r.len=4, sym=['A', 'B', 'C'], |sym|=3)
fact1 [?<+<>] = [?<<>]: DE + EF = DEEF  (r.len=4, sym=['D', 'E', 'F'], |sym|=3)
fact2 [??-:&] = [|?]: DD - BG = CD  (r.len=2, sym=['B', 'C', 'D', 'G'], |sym|=4)
fact3 [?&+>{] = [?&>{]: DG + FH = DGFH  (r.len=4, sym=['D', 'F', 'G', 'H'], |sym|=4)
fact4 [:|+%&] = [:|%&]: BC + JG = BCJG  (r.len=4, sym=['B', 'C', 'G', 'J'], |sym|=4)
query ["|+"%]: AC + AJ = ?

narrowing operator candidates by result length:
  '+' -> {concat, rconcat, mul, mul1, mulm1}
  '-' -> {add, add1, addm1, sub, rsub, absdiff, maxmod}

Mul anchor: fact3 [?&+>{] (4-digit result constrains the cipher most tightly).
Enumerate (operation, operands) consistent with the anchor pattern DG + FH = DGFH -> 5040 candidates:
  R0: concat(01,23) = 0123 -> G=1,F=2,D=0,H=3
  R1: concat(01,24) = 0124 -> G=1,F=2,D=0,H=4
  R2: concat(01,25) = 0125 -> G=1,F=2,D=0,H=5
  R3: concat(01,26) = 0126 -> G=1,F=2,D=0,H=6
  R4: concat(01,27) = 0127 -> G=1,F=2,D=0,H=7
  R5: concat(01,28) = 0128 -> G=1,F=2,D=0,H=8
  R6: concat(01,29) = 0129 -> G=1,F=2,D=0,H=9
  R7: concat(01,32) = 0132 -> G=1,F=3,D=0,H=2
  R8: concat(01,34) = 0134 -> G=1,F=3,D=0,H=4
  R9: concat(01,35) = 0135 -> G=1,F=3,D=0,H=5
  R10: concat(01,36) = 0136 -> G=1,F=3,D=0,H=6
  R11: concat(01,37) = 0137 -> G=1,F=3,D=0,H=7
  R12: concat(01,38) = 0138 -> G=1,F=3,D=0,H=8
  R13: concat(01,39) = 0139 -> G=1,F=3,D=0,H=9
  R14: concat(01,42) = 0142 -> G=1,F=4,D=0,H=2
  R15: concat(01,43) = 0143 -> G=1,F=4,D=0,H=3
  R16: concat(01,45) = 0145 -> G=1,F=4,D=0,H=5
  R17: concat(01,46) = 0146 -> G=1,F=4,D=0,H=6
  R18: concat(01,47) = 0147 -> G=1,F=4,D=0,H=7
  R19: concat(01,48) = 0148 -> G=1,F=4,D=0,H=8
  R20: concat(01,49) = 0149 -> G=1,F=4,D=0,H=9
  R21: concat(01,52) = 0152 -> G=1,F=5,D=0,H=2
  R22: concat(01,53) = 0153 -> G=1,F=5,D=0,H=3
  R23: concat(01,54) = 0154 -> G=1,F=5,D=0,H=4
  R24: concat(01,56) = 0156 -> G=1,F=5,D=0,H=6
  R25: concat(01,57) = 0157 -> G=1,F=5,D=0,H=7
  R26: concat(01,58) = 0158 -> G=1,F=5,D=0,H=8
