We infer the transformation rule from the facts by bounded rule-based trial.
I will put my final answer inside \boxed{}.

remap (index 2 is the operator):
fact0 ["@-:(] = [!(]: AB - CD = ED  (r.len=2, sym=['A', 'B', 'C', 'D', 'E'], |sym|=5)
fact1 []\*"%] = ["%]\]: FG * AH = AHFG  (r.len=4, sym=['A', 'F', 'G', 'H'], |sym|=4)
fact2 ["(+(]] = [(&]: AD + DF = DJ  (r.len=2, sym=['A', 'D', 'F', 'J'], |sym|=4)
query []]*]&]: FF * FJ = ?

narrowing operator candidates by result length:
  '*' -> {concat, rconcat, mul, mul1, mulm1}
  '+' -> {add, add1, addm1, sub, rsub, absdiff, maxmod}
  '-' -> {add, add1, addm1, sub, rsub, absdiff, maxmod}

Mul anchor: fact1 []\*"%] (4-digit result constrains the cipher most tightly).
Enumerate (operation, operands) consistent with the anchor pattern FG * AH = AHFG -> 5040 candidates:
  R0: concat(23,01) = 2301 -> A=2,H=3,G=1,F=0
  R1: concat(24,01) = 2401 -> A=2,H=4,G=1,F=0
  R2: concat(25,01) = 2501 -> A=2,H=5,G=1,F=0
  R3: concat(26,01) = 2601 -> A=2,H=6,G=1,F=0
  R4: concat(27,01) = 2701 -> A=2,H=7,G=1,F=0
  R5: concat(28,01) = 2801 -> A=2,H=8,G=1,F=0
  R6: concat(29,01) = 2901 -> A=2,H=9,G=1,F=0
  R7: concat(32,01) = 3201 -> A=3,H=2,G=1,F=0
  R8: concat(34,01) = 3401 -> A=3,H=4,G=1,F=0
  R9: concat(35,01) = 3501 -> A=3,H=5,G=1,F=0
  R10: concat(36,01) = 3601 -> A=3,H=6,G=1,F=0
  R11: concat(37,01) = 3701 -> A=3,H=7,G=1,F=0
  R12: concat(38,01) = 3801 -> A=3,H=8,G=1,F=0
  R13: concat(39,01) = 3901 -> A=3,H=9,G=1,F=0
  R14: concat(42,01) = 4201 -> A=4,H=2,G=1,F=0
  R15: concat(43,01) = 4301 -> A=4,H=3,G=1,F=0
  R16: concat(45,01) = 4501 -> A=4,H=5,G=1,F=0
  R17: concat(46,01) = 4601 -> A=4,H=6,G=1,F=0
  R18: concat(47,01) = 4701 -> A=4,H=7,G=1,F=0
  R19: concat(48,01) = 4801 -> A=4,H=8,G=1,F=0
  R20: concat(49,01) = 4901 -> A=4,H=9,G=1,F=0
  R21: concat(52,01) = 5201 -> A=5,H=2,G=1,F=0
  R22: concat(53,01) = 5301 -> A=5,H=3,G=1,F=0
  R23: concat(54,01) = 5401 -> A=5,H=4,G=1,F=0
  R24: concat(56,01) = 5601 -> A=5,H=6,G=1,F=0
  R25: concat(57,01) = 5701 -> A=5,H=7,G=1,F=0
  R26: concat(58,01) = 5801 -> A=5,H=8,G=1,F=0
  R27: concat(59,01) = 5901 -> A=5,H=9,G=1,F=0
  R28: concat(62,01) = 6201 -> A=6,H=2,G=1,F=0
  R29: concat(63,01) = 6301 -> A=6,H=3,G=1,F=0
  R30: concat(64,01) = 6401 -> A=6,H=4,G=1,F=0
  R31: concat(65,01) = 6501 -> A=6,H=5,G=1,F=0
  R32: concat(67,01) = 6701 -> A=6,H=7,G=1,F=0
  R33: concat(68,01) = 6801 -> A=6,H=8,G=1,F=0
  R34: concat(69,01) = 6901 -> A=6,H=9,G=1,F=0
  R35: concat(72,01) = 7201 -> A=7,H=2,G=1,F=0
  R36: concat(73,01) = 7301 -> A=7,H=3,G=1,F=0
  R37: concat(74,01) = 7401 -> A=7,H=4,G=1,F=0
  R38: concat(75,01) = 7501 -> A=7,H=5,G=1,F=0
  R39: concat(76,01) = 7601 -> A=7,H=6,G=1,F=0
  R40: concat(78,01) = 7801 -> A=7,H=8,G=1,F=0
  R41: concat(79,01) = 7901 -> A=7,H=9,G=1,F=0
  R42: concat(82,01) = 8201 -> A=8,H=2,G=1,F=0
  R43: concat(83,01) = 8301 -> A=8,H=3,G=1,F=0
  R44: concat(84,01) = 8401 -> A=8,H=4,G=1,F=0
  R45: concat(85,01) = 8501 -> A=8,H=5,G=1,F=0
  R46: concat(86,01) = 8601 -> A=8,H=6,G=1,F=0
  R47: concat(87,01) = 8701 -> A=8,H=7,G=1,F=0
  R48: concat(89,01) = 8901 -> A=8,H=9,G=1,F=0
  R49: concat(92,01) = 9201 -> A=9,H=2,G=1,F=0
  R50: concat(93,01) = 9301 -> A=9,H=3,G=1,F=0
  R51: concat(94,01) = 9401 -> A=9,H=4,G=1,F=0
  R52: concat(95,01) = 9501 -> A=9,H=5,G=1,F=0
  R53: concat(96,01) = 9601 -> A=9,H=6,G=1,F=0
  R54: concat(97,01) = 9701 -> A=9,H=7,G=1,F=0
  R55: concat(98,01) = 9801 -> A=9,H=8,G=1,F=0
  R56: concat(13,02) = 1302 -> A=1,H=3,G=2,F=0
  R57: concat(14,02) = 1402 -> A=1,H=4,G=2,F=0
  R58: concat(15,02) = 1502 -> A=1,H=5,G=2,F=0
  R59: concat(16,02) = 1602 -> A=1,H=6,G=2,F=0
  R60: concat(17,02) = 1702 -> A=1,H=7,G=2,F=0
  R61: concat(18,02) = 1802 -> A=1,H=8,G=2,F=0
  R62: concat(19,02) = 1902 -> A=1,H=9,G=2,F=0
  R63: concat(31,02) = 3102 -> A=3,H=1,G=2,F=0
  R64: concat(34,02) = 3402 -> A=3,H=4,G=2,F=0
  R65: concat(35,02) = 3502 -> A=3,H=5,G=2,F=0
  R66: concat(36,02) = 3602 -> A=3,H=6,G=2,F=0
  R67: concat(37,02) = 3702 -> A=3,H=7,G=2,F=0
  R68: concat(38,02) = 3802 -> A=3,H=8,G=2,F=0
  R69: concat(39,02) = 3902 -> A=3,H=9,G=2,F=0
  R70: concat(41,02) = 4102 -> A=4,H=1,G=2,F=0
  R71: concat(43,02) = 4302 -> A=4,H=3,G=2,F=0
  R72: concat(45,02) = 4502 -> A=4,H=5,G=2,F=0
  R73: concat(46,02) = 4602 -> A=4,H=6,G=2,F=0
  R74: concat(47,02) = 4702 -> A=4,H=7,G=2,F=0
  R75: concat(48,02) = 4802 -> A=4,H=8,G=2,F=0
  R76: concat(49,02) = 4902 -> A=4,H=9,G=2,F=0
  R77: concat(51,02) = 5102 -> A=5,H=1,G=2,F=0
  R78: concat(53,02) = 5302 -> A=5,H=3,G=2,F=0
  R79: concat(54,02) = 5402 -> A=5,H=4,G=2,F=0
  R80: concat(56,02) = 5602 -> A=5,H=6,G=2,F=0
  R81: concat(57,02) = 5702 -> A=5,H=7,G=2,F=0
  R82: concat(58,02) = 5802 -> A=5,H=8,G=2,F=0
  R83: concat(59,02) = 5902 -> A=5,H=9,G=2,F=0
  R84: concat(61,02) = 6102 -> A=6,H=1,G=2,F=0
  R85: concat(63,02) = 6302 -> A=6,H=3,G=2,F=0
  R86: concat(64,02) = 6402 -> A=6,H=4,G=2,F=0
  R87: concat(65,02) = 6502 -> A=6,H=5,G=2,F=0
  R88: concat(67,02) = 6702 -> A=6,H=7,G=2,F=0
  R89: concat(68,02) = 6802 -> A=6,H=8,G=2,F=0
  R90: concat(69,02) = 6902 -> A=6,H=9,G=2,F=0
  R91: concat(71,02) = 7102 -> A=7,H=1,G=2,F=0
