We infer the transformation rule from the facts by bounded rule-based trial.
I will put my final answer inside \boxed{}.

remap (index 2 is the operator):
fact0 [}%*})] = [||)]: AB * AC = DDC  (r.len=3, sym=['A', 'B', 'C', 'D'], |sym|=4)
fact1 [`^-%"] = [%{]: EF - BG = BH  (r.len=2, sym=['B', 'E', 'F', 'G', 'H'], |sym|=5)
fact2 [|}-!?] = [)`]: DA - JK = CE  (r.len=2, sym=['A', 'C', 'D', 'E', 'J', 'K'], |sym|=6)
fact3 [{^+?)] = [{^?)]: HF + KC = HFKC  (r.len=4, sym=['C', 'F', 'H', 'K'], |sym|=4)
fact4 [}!+}^] = [}!}^]: AJ + AF = AJAF  (r.len=4, sym=['A', 'F', 'J'], |sym|=3)
query [!"+"!]: JG + GJ = ?

narrowing operator candidates by result length:
  '*' -> {mul, mul1, mulm1, add1, addm1}
  '+' -> {concat, rconcat, mul, mul1, mulm1}
  '-' -> {add, add1, addm1, sub, rsub, absdiff, maxmod}

Mul anchor: fact3 [{^+?)] (4-digit result constrains the cipher most tightly).
Enumerate (operation, operands) consistent with the anchor pattern HF + KC = HFKC -> 5040 candidates:
  R0: concat(01,23) = 0123 -> C=3,K=2,F=1,H=0
  R1: concat(01,24) = 0124 -> C=4,K=2,F=1,H=0
  R2: concat(01,25) = 0125 -> C=5,K=2,F=1,H=0
  R3: concat(01,26) = 0126 -> C=6,K=2,F=1,H=0
  R4: concat(01,27) = 0127 -> C=7,K=2,F=1,H=0
  R5: concat(01,28) = 0128 -> C=8,K=2,F=1,H=0
  R6: concat(01,29) = 0129 -> C=9,K=2,F=1,H=0
  R7: concat(01,32) = 0132 -> C=2,K=3,F=1,H=0
  R8: concat(01,34) = 0134 -> C=4,K=3,F=1,H=0
  R9: concat(01,35) = 0135 -> C=5,K=3,F=1,H=0
  R10: concat(01,36) = 0136 -> C=6,K=3,F=1,H=0
  R11: concat(01,37) = 0137 -> C=7,K=3,F=1,H=0
  R12: concat(01,38) = 0138 -> C=8,K=3,F=1,H=0
  R13: concat(01,39) = 0139 -> C=9,K=3,F=1,H=0
  R14: concat(01,42) = 0142 -> C=2,K=4,F=1,H=0
  R15: concat(01,43) = 0143 -> C=3,K=4,F=1,H=0
  R16: concat(01,45) = 0145 -> C=5,K=4,F=1,H=0
  R17: concat(01,46) = 0146 -> C=6,K=4,F=1,H=0
  R18: concat(01,47) = 0147 -> C=7,K=4,F=1,H=0
  R19: concat(01,48) = 0148 -> C=8,K=4,F=1,H=0
  R20: concat(01,49) = 0149 -> C=9,K=4,F=1,H=0
  R21: concat(01,52) = 0152 -> C=2,K=5,F=1,H=0
  R22: concat(01,53) = 0153 -> C=3,K=5,F=1,H=0
  R23: concat(01,54) = 0154 -> C=4,K=5,F=1,H=0
  R24: concat(01,56) = 0156 -> C=6,K=5,F=1,H=0
  R25: concat(01,57) = 0157 -> C=7,K=5,F=1,H=0
  R26: concat(01,58) = 0158 -> C=8,K=5,F=1,H=0
  R27: concat(01,59) = 0159 -> C=9,K=5,F=1,H=0
  R28: concat(01,62) = 0162 -> C=2,K=6,F=1,H=0
  R29: concat(01,63) = 0163 -> C=3,K=6,F=1,H=0
  R30: concat(01,64) = 0164 -> C=4,K=6,F=1,H=0
  R31: concat(01,65) = 0165 -> C=5,K=6,F=1,H=0
  R32: concat(01,67) = 0167 -> C=7,K=6,F=1,H=0
  R33: concat(01,68) = 0168 -> C=8,K=6,F=1,H=0
  R34: concat(01,69) = 0169 -> C=9,K=6,F=1,H=0
  R35: concat(01,72) = 0172 -> C=2,K=7,F=1,H=0
  R36: concat(01,73) = 0173 -> C=3,K=7,F=1,H=0
  R37: concat(01,74) = 0174 -> C=4,K=7,F=1,H=0
  R38: concat(01,75) = 0175 -> C=5,K=7,F=1,H=0
  R39: concat(01,76) = 0176 -> C=6,K=7,F=1,H=0
  R40: concat(01,78) = 0178 -> C=8,K=7,F=1,H=0
  R41: concat(01,79) = 0179 -> C=9,K=7,F=1,H=0
  R42: concat(01,82) = 0182 -> C=2,K=8,F=1,H=0
  R43: concat(01,83) = 0183 -> C=3,K=8,F=1,H=0
  R44: concat(01,84) = 0184 -> C=4,K=8,F=1,H=0
  R45: concat(01,85) = 0185 -> C=5,K=8,F=1,H=0
  R46: concat(01,86) = 0186 -> C=6,K=8,F=1,H=0
  R47: concat(01,87) = 0187 -> C=7,K=8,F=1,H=0
  R48: concat(01,89) = 0189 -> C=9,K=8,F=1,H=0
